Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
A. Poungouras,Achilleas Poungouras,67,1100000,CB,Greece,26,Panathinaikos FC,2018
Junio,Junio Ricardo da Rocha,67,1200000,CB,Brazil,25,Rio Ave FC,2019
N. Hedl,Niklas Hedl,67,2000000,GK,Austria,21,SK Rapid Wien,2020
M. Alonso,Mauricio Alonso,67,1000000,RM,Uruguay,28,Mushuc Runa,2022
E. Moreno,Eber Moreno,67,2300000,RB,Colombia,20,América de Cali,2020
E. Martel,Eric Martel,67,2500000,CB,Germany,20,1. FC Köln,2022
A. Ivačič,Aljaž Ivačič,67,950000,GK,Slovenia,28,Portland Timbers,2019
A. Gory,Alimami Gory,67,1200000,ST,France,25,Paris FC,2022
K. Angielski,Karol Angielski,67,1300000,ST,Poland,26,Demir Grup Sivasspor,2022
I. Armaș,Igor Armaș,67,325000,CB,Moldova,34,FC Voluntari,2018
B. Bjarnason,Birkir Bjarnason,67,475000,CM,Iceland,34,Adana Demirspor,2021
Borja Valle,Borja Valle Balonga,67,1000000,ST,Spain,29,FC Cartagena,2022
B. Calderara,Brian Calderara,67,1900000,LWB,Argentina,24,Barracas Central,2019
C. Neguț,Cristian Neguț,67,1200000,RM,Romania,26,AFC Chindia Târgoviște,2016
M. Dulca,Marco Dulca,67,2000000,CDM,Romania,23,FCSB (Steaua),2022
R. Janicki,Rafał Janicki,67,850000,CB,Poland,29,Górnik Zabrze,2021
S. Adingra,Simon Adingra,67,2200000,RM,Côte d'Ivoire,20,Royale Union Saint-Gilloise,2022
Nadjack,Eliseu Mendja Nadjack Cassamá,67,925000,RB,Guinea Bissau,28,Grasshopper Club Zürich,2020
E. Oelschlägel,Eric Oelschlägel,67,1000000,GK,Germany,26,FC Emmen,2022
J. Biada,Julius Biada,67,1000000,CAM,Germany,29,1. FC Saarbrücken,2022
S. Thesker,Stefan Thesker,67,700000,CB,Germany,31,Holstein Kiel,2018
N. Ravaglia,Nicola Ravaglia,67,325000,GK,Italy,33,U.C. Sampdoria,2020
Ryu Jae Moon,Jae Moon Ryu,67,975000,CDM,Korea Republic,28,Jeonbuk Hyundai Motors,2021
S. Akaydin,Samet Akaydin,67,1000000,CB,Turkey,28,Adana Demirspor,2021
F. Zabala,Facundo Zabala,67,1500000,LB,Argentina,23,Venezia FC,2022
G. Mitoglou,Gerasimos Mitoglou,67,2100000,CB,Greece,22,AEK Athens,2021
G. Koomson,Gilbert Koomson,67,1100000,RM,Ghana,27,Aalesunds FK,2021
J. Wilson,James Wilson,67,475000,CB,Wales,33,Plymouth Argyle,2021
I. Matanović,Igor Matanović,67,2400000,ST,Germany,19,FC St. Pauli,2021
B. van Rooij,Bart van Rooij,67,1500000,RWB,Netherlands,21,N.E.C. Nijmegen,2019
Torrente,Raúl Torrente Navarro,67,2100000,CB,Spain,20,Granada CF,2020
T. Přikryl,Tomáš Přikryl,67,1000000,RM,Czech Republic,29,Jagiellonia Białystok,2019
A. Tanghe,Anton Tanghe,67,2100000,CB,Belgium,23,KV Oostende,2020
B. Mitchell,Billy Mitchell,67,2300000,CDM,England,21,Millwall,2019
C. Căbuz,Cătălin Căbuz,67,1200000,GK,Romania,26,AFC Chindia Târgoviște,2021
V. Barkas,Vasilios Barkas,67,950000,GK,Greece,28,FC Utrecht,2020
A. Bassi,Amine Bassi,67,1500000,CAM,Morocco,24,FC Metz,2021
R. Neudecker,Richard Neudecker,67,1400000,LM,Germany,25,1. FC Saarbrücken,2022
Geraldo,Hermenegildo Paulo Bartolomeu,67,1000000,CAM,Angola,30,Ümraniyespor,2022
M. Schäffler,Manuel Schäffler,67,650000,ST,Germany,33,SG Dynamo Dresden,2022
Juan Ibiza,Juan Fernández Blanco,67,1200000,CB,Spain,26,UD Ibiza,2021
N. Thaller,Nicolás Thaller,67,1500000,CB,Argentina,23,Atlético Tucumán,2018
Y. Ideguchi,Yosuke Ideguchi,67,1300000,CDM,Japan,25,Celtic,2022
W. Quiñónez,Wilson Quiñónez,67,325000,GK,Paraguay,33,Club Deportivo Oriente Petrolero,2021
O. Popescu,Ovidiu Popescu,67,975000,CB,Romania,28,FCSB (Steaua),2016
P. López,Pablo López,67,1300000,RM,Uruguay,25,Club Atlético River Plate,2022
L. Sætra,Lars Sætra,67,825000,CB,Norway,30,Kalmar FF,2021
S. Akinyoola,Samson Akinyoola,67,2300000,ST,Benin,22,Caracas Fútbol Club,2021
Kike Saverio,Javier Enrique Delgado Saverio,67,2300000,RM,Ecuador,23,CA Osasuna,2020
M. Fenger,Mads Fenger,67,700000,CB,Denmark,31,Hammarby IF,2017
M. Klimowicz,Mateo Klimowicz,67,2300000,CAM,Germany,21,DSC Arminia Bielefeld,2019
J. Strauß,John-Patrick Strauß,67,1100000,RB,Philippines,26,F.C. Hansa Rostock,2022
I. Laquintana,Ignacio Laquintana,67,2000000,RM,Uruguay,23,Club Atlético Peñarol,2021
Victor Bobsin,Victor Bobsin,67,2200000,CM,Brazil,22,Santa Clara,2022
E. Castillo,Edson Castillo,67,975000,CDM,Venezuela,28,Caracas Fútbol Club,2021
Marvin,Marvin Olawale Akinlabi Park,67,2500000,RW,Spain,22,Unión Deportiva Las Palmas,2019
L. Narsingh,Luciano Narsingh,67,850000,RM,Netherlands,31,Miedź Legnica,2022
K. Saito,Koki Saito,67,2300000,CAM,Japan,20,Sparta Rotterdam,2021
E. Sabbi,Emmanuel Sabbi,67,1500000,RM,United States,24,Odense Boldklub,2020
José Arnáiz,José Manuel Arnáiz Díaz,67,1100000,ST,Spain,27,CD Leganés,2018
L. Zuffi,Luca Zuffi,67,675000,CDM,Switzerland,32,FC Sion,2021
Ilias,Ilias Akhomach Chakkour,67,2600000,CAM,Spain,18,FC Barcelona,2021
J. Archimbaud,Jean-Pierre Archimbaud,67,1000000,CDM,Peru,27,FBC Melgar,2022
B. Spittal,Blair Spittal,67,1200000,RM,Scotland,26,Motherwell,2022
D. Henry,Doneil Henry,67,850000,CB,Canada,29,Toronto FC,2022
B. Wiles,Ben Wiles,67,1500000,CM,England,23,Rotherham United,2017
V. Savićević,Vukan Savićević,67,975000,CM,Montenegro,28,GZT Giresunspor,2022
R. Aarons,Rolando Aarons,67,1200000,LW,Jamaica,26,Motherwell,2021
D. Martinović,Dominik Martinović,67,1400000,ST,Croatia,25,SV Waldhof Mannheim 07,2020
A. Mățan,Alexandru Mățan,67,1600000,RM,Romania,22,Rapid București,2021
A. Rodríguez,Alan Rodríguez,67,2200000,LM,Paraguay,21,Club Cerro Porteño,2018
Dálcio,Euciodálcio Gomes,67,1300000,CAM,Portugal,26,APOEL Nicosia FC,2022
D. Yongwa,Darlin Yongwa,67,2200000,LB,Cameroon,21,FC Lorient,2022
M. Risse,Marcel Risse,67,800000,RM,Germany,32,Viktoria Köln,2021
R. Salinas,Richard Salinas,67,1100000,RM,Paraguay,27,Guaireña FC,2022
M. Angha,Martin Angha,67,875000,CB,Switzerland,28,Al Adalah,2022
H. Šabanović,Halid Šabanović,67,2200000,RB,Bosnia and Herzegovina,22,Angers SCO,2022
B. Rivero,Braian Rivero,67,1300000,CDM,Argentina,26,Arsenal de Sarandí,2021
L. Oyen,Luca Oyen,67,2600000,RM,Belgium,19,KRC Genk,2019
E. Hagen,Elias K. Hagen,67,2300000,CM,Norway,22,FK Bodø/Glimt,2020
Anderson Cordeiro,Anderson Cordeiro Costa,67,2300000,RW,Brazil,23,Casa Pia,2022
D. Robles,David Robles,67,825000,CB,Paraguay,30,Club Deportivo Guabirá,2022
E. Finlay,Ethan Finlay,67,850000,RM,United States,31,Austin FC,2022
K. Watts,Kelland Watts,67,2100000,CB,England,22,Peterborough United,2018
E. Ntim,Emmanuel Ntim,67,1300000,CB,Ghana,26,Stade Malherbe Caen,2022
Botelhinonsa,João Rodolfo Botelho Maia,67,1100000,RB,Brazil,22,Club Athletico Paranaense,2022
Rômulo,Rômulo José Pacheco da Silva,67,1200000,CAM,Brazil,26,Chengdu Rongcheng F.C.,2021
A. Compagno,Andrea Compagno,67,1300000,ST,Italy,26,FCSB (Steaua),2022
F. Bambock,Franck Bambock,67,1100000,CB,France,27,Grenoble Foot 38,2021
Jonaldo Santoso,Jonaldo Kauã Santoso Jasper,67,1000000,ST,Brazil,30,Atlético Clube Goianiense,2022
A. Atouchi,Amine Atouchi,67,825000,CB,Morocco,30,Abha Club,2019
N. Orellana,Nicolás Orellana,67,1100000,ST,Chile,26,Unión La Calera,2021
C. Johansson,Carl Johansson,67,1000000,CB,Sweden,28,IFK Göteborg,2021
D. O'Shaughnessy,Daniel O'Shaughnessy,67,1000000,CB,Finland,27,Karlsruher SC,2022
P. Iacob,Paul Iacob,67,1300000,CB,Romania,26,Rapid București,2022
Mica Pinto,Michael Gonçalves Pinto,67,900000,LB,Luxembourg,29,Sparta Rotterdam,2020
Z. Vyner,Zak Vyner,67,1300000,CB,England,25,Bristol City,2014
A. Salétros,Anton Salétros,67,1300000,CM,Sweden,26,Sarpsborg 08 FF,2020
K. Kouao,Koffi Kouao,67,1900000,RB,Côte d'Ivoire,24,FC Metz,2022
L. Leroy,Léo Leroy,67,2300000,CM,France,22,Montpellier Hérault SC,2021
A. Artean,Andrei Artean,67,900000,CDM,Romania,28,FC Farul Constanța,2021
J. Aude,Julián Aude,67,2500000,LM,Argentina,19,Club Atlético Lanús,2020
J. McEachran,Josh McEachran,67,1000000,CM,England,29,Milton Keynes Dons,2021
J. Bynoe-Gittens,Jamie Bynoe-Gittens,67,2800000,RM,England,17,Borussia Dortmund,2022
A. Čerin,Adam Gnezda Čerin,67,2100000,CAM,Slovenia,22,Panathinaikos FC,2022
D. Falcinelli,Diego Falcinelli,67,850000,ST,Italy,31,Modena,2022
S. Al Khaibari,Sami Al Khaibari,67,650000,CB,Saudi Arabia,32,Al Fayha,2012
S. Bajic,Stefan Bajic,67,1900000,GK,France,20,Bristol City,2022
S. Ganvoula,Silvère Ganvoula,67,1300000,ST,Congo,26,VfL Bochum 1848,2019
Arnau Tenas,Arnau Tenas Ureña,67,2200000,GK,Spain,21,FC Barcelona,2020
J. Lora,Jhilmar Lora,67,2200000,RWB,Peru,21,Club Sporting Cristal,2021
E. Embleton,Elliot Embleton,67,2300000,CAM,England,23,Sunderland,2015
N. Rauti,Nicola Rauti,67,2300000,ST,Italy,22,SPAL,2020
C. Jenkinson,Carl Jenkinson,67,875000,RB,England,30,Newcastle Jets,2022
M. Bălașa,Mihai Bălașa,67,1100000,CB,Romania,27,Sepsi OSK Sf. Gheorghe,2022
F. Jozefzoon,Florian Jozefzoon,67,850000,RW,Suriname,31,RKC Waalwijk,2022
B. Aguirre,Braian Aguirre,67,2200000,RB,Argentina,21,Club Atlético Lanús,2020
B. Racovițan,Bogdan Racovițan,67,2100000,CB,Romania,22,Raków Częstochowa,2022
K. Ademi,Kemal Ademi,67,1300000,ST,Switzerland,26,SV Sandhausen,2022
C. Rivero,Carlos Rivero,67,950000,CB,Venezuela,29,Caracas Fútbol Club,2020
Rui Mendes,Rui Jorge Monteiro Mendes,67,1600000,RM,Portugal,22,FC Emmen,2021
L. Tchaouna,Loum Tchaouna,67,2100000,LM,France,18,Dijon FCO,2021
F. Supayabe,Fran Supayabe,67,1200000,RB,Bolivia,26,Club Deportivo Guabirá,2016
Manu Fuster,Manuel Fuster Lázaro,67,1500000,ST,Spain,24,Albacete BP,2019
P. Leeuwenburgh,Peter Leeuwenburgh,67,800000,GK,Netherlands,28,FC Groningen,2021
S. Şahin-Radlinger,Samuel Şahin-Radlinger,67,700000,GK,Austria,29,SV Ried,2020
E. Mihaj,Enea Mihaj,67,1900000,CB,Albania,23,Futebol Clube de Famalicão,2022
Edenildo Lagoas,Edenildo Eloi Lagoas Regalo,67,1100000,RB,Brazil,22,Ceará Sporting Club,2022
J. Ankersen,Jakob Ankersen,67,850000,LM,Denmark,31,Randers FC,2021
B. Bentaberry,Bryan Bentaberry,67,1300000,RB,Uruguay,25,Cerro Largo Fútbol Club,2022
Fausto Tienza,Fausto Antonio Tienza Núñez,67,675000,CDM,Spain,32,Racing Santander,2021
Marco Túlio,Marco Túlio Oliveira Lemos,67,1500000,CAM,Brazil,24,Central Coast Mariners,2022
Martín Calderón,Martín Manuel Calderón Gómez,67,2100000,CDM,Spain,23,RC Celta de Vigo,2021
Marco Sangalli,Marco Sangalli Fuentes,67,975000,RM,Spain,30,Real Oviedo,2019
C. Ronan,Connor Ronan,67,2000000,CAM,Republic of Ireland,24,Wolverhampton Wanderers,2015
J. Molumby,Jayson Molumby,67,2300000,CM,Republic of Ireland,22,West Bromwich Albion,2022
G. Papanikolaou,Giannis Papanikolaou,67,2000000,CM,Greece,23,Raków Częstochowa,2020
B. Passi,Bryan Passi,67,1400000,CB,France,24,Chamois Niortais Football Club,2019
T. Müller,Tobias Müller,67,1100000,CB,Germany,27,SC Paderborn 07,2022
E. Achouri,Elias Achouri,67,2300000,RM,France,23,Viborg FF,2022
P. Mullin,Paul Mullin,67,1200000,ST,England,27,Wrexham AFC,2021
Javi Jiménez,Javier Jiménez Moreno,67,1200000,LB,Spain,26,Málaga CF,2021
J. Thompson,Jordan Thompson,67,1500000,CM,Northern Ireland,25,Stoke City,2020
Marcelo Allende,Marcelo Iván Allende Bravo,67,2000000,RM,Chile,23,Mamelodi Sundowns FC,2022
L. Pászka,Lóránd Pászka,67,1200000,LB,Hungary,26,Ferencvárosi TC,2022
S. Ferguson,Shane Ferguson,67,875000,LWB,Northern Ireland,30,Rotherham United,2021
Pablo Martínez,Pablo Martínez Andrés,67,1600000,CAM,Spain,24,Levante Unión Deportiva,2019
M. Stryjek,Max Stryjek,67,1000000,GK,Poland,25,Wycombe Wanderers,2022
C. Cowell,Cade Cowell,67,2400000,CAM,United States,18,San Jose Earthquakes,2019
J. Marx,Jan Hendrik Marx,67,1100000,RB,Germany,27,Eintracht Braunschweig,2022
M. Fixelles,Mathias Fixelles,67,1400000,CM,Belgium,25,KVC Westerlo,2022
A. Kalik,Anthony Kalik,67,2000000,CM,Australia,24,Hajduk Split,2022
B. Thompson,Ben Thompson,67,1300000,CDM,England,26,Peterborough United,2022
J. Ward,Joe Ward,67,1100000,RM,England,26,Peterborough United,2018
Jorgino Baumer,Jorgino Kaio Baumer Negrão,67,1100000,CAM,Brazil,26,Atlético Clube Goianiense,2022
Í. Jóhannesson,Ísak Bergmann Jóhannesson,67,2400000,LM,Iceland,19,F.C. København,2021
K. Varga,Kevin Varga,67,1200000,LM,Hungary,26,Atakaş Hatayspor,2022
M. Coppolaro,Mauro Coppolaro,67,1200000,RB,Italy,25,Modena,2022
A. Seydel,Aaron Seydel,67,1300000,ST,Germany,26,SV Darmstadt 98,2020
M. Guanini,Manuel Guanini,67,1100000,CB,Argentina,26,Club Atlético Sarmiento,2022
A. Perea,Andrés Perea,67,2200000,CDM,United States,21,Orlando City Soccer Club,2021
H. Rodríguez,Hernán Rodríguez,67,1300000,CM,Bolivia,26,Royal Pari,2016
B. Santelli,Benjamin Santelli,67,1000000,ST,France,30,SC Bastia,2020
M. Mehlem,Marcel Mehlem,67,1200000,CDM,Germany,27,SC Paderborn 07,2021
E. Kahl,Eric Kahl,67,1900000,LWB,Sweden,20,Aarhus GF,2021
L. Cueto,Lucas Cueto,67,1200000,LW,Germany,26,Karlsruher SC,2021
M. Cotali,Matteo Cotali,67,1200000,LWB,Italy,25,Frosinone,2021
J. Asoro,Joel Asoro,67,2100000,RM,Sweden,23,Djurgårdens IF,2021
M. De Luca,Manuel De Luca,67,1600000,ST,Italy,23,U.C. Sampdoria,2021
J. Billong,Jean-Claude Billong,67,975000,CB,Cameroon,28,CFR Cluj,2022
L. Millar,Liam Millar,67,2300000,RM,Canada,22,FC Basel 1893,2021
F. Baschirotto,Federico Baschirotto,67,1200000,CB,Italy,25,Lecce,2022
B. Vriends,Bart Vriends,67,700000,CB,Netherlands,31,Sparta Rotterdam,2016
A. Hansen,Andreas Hansen,67,950000,GK,Denmark,26,FC Nordsjælland,2022
E. Gnahoré,Eddy Gnahoré,67,900000,CDM,France,28,Ascoli,2022
J. Arrascaita,Jaime Arrascaita,67,1000000,LM,Bolivia,28,Club The Strongest,2021
M. Kirkeskov,Mikkel Kirkeskov,67,875000,LWB,Denmark,30,Holstein Kiel,2021
T. Hateley,Tom Hateley,67,675000,CDM,England,32,Piast Gliwice,2021
G. Masucci,Gaetano Masucci,67,350000,ST,Italy,37,Pisa,2017
D. Fitz,Dominik Fitz,67,1600000,CAM,Austria,23,FK Austria Wien,2018
H. Sarpei,Hans Nunoo Sarpei,67,1400000,CDM,Ghana,23,FC Ingolstadt 04,2022
L. Sibley,Louie Sibley,67,2200000,CAM,England,20,Derby County,2018
W. Smallbone,Will Smallbone,67,2300000,CAM,Republic of Ireland,22,Stoke City,2017
Park Yong Woo,Yong Woo Park,67,900000,CDM,Korea Republic,28,Ulsan Hyundai FC,2017
K. Kanak,Kaan Kanak,67,750000,LB,Turkey,31,Atakaş Hatayspor,2022
G. Mbenza,Guy Mbenza,67,2300000,ST,Congo,22,Al Tai,2022
E. Yeşilyurt,Erdoğan Yeşilyurt,67,1000000,RM,Germany,28,Demir Grup Sivasspor,2018
A. Sowe,Ali Sowe,67,1000000,ST,Gambia,28,MKE Ankaragücü,2019
E. Lomotey,Emmanuel Lomotey,67,1900000,CB,Ghana,24,Malmö FF,2022
Ortuño,Alfredo Ortuño Martínez,67,850000,ST,Spain,31,FC Cartagena,2021
S. Lynen,Senne Lynen,67,1400000,CM,Belgium,23,Royale Union Saint-Gilloise,2020
T. Gemicibaşi,Turgay Gemicibaşi,67,1100000,CDM,Turkey,26,Kasimpaşa SK,2021
O. Turton,Oliver Turton,67,900000,RB,England,29,Huddersfield Town,2021
J. Husband,James Husband,67,875000,CB,England,28,Blackpool,2020
C. Kouan Oulaï,Christian Kouan Oulaï,67,2300000,ST,Côte d'Ivoire,22,Perugia,2017
Erico,Erico C. da Silva,67,650000,CB,Brazil,32,AFC UTA Arad,2020
Carlos Mendes Gomes,Carlos Mendes Gomes,67,1600000,RM,Spain,23,Fleetwood Town,2021
M. Gajos,Maciej Gajos,67,825000,CM,Poland,31,Lechia Gdańsk,2019
A. Chipciu,Alexandru Chipciu,67,625000,RM,Romania,33,Universitatea Cluj,2022
A. Batisse,Antoine Batisse,67,1200000,CB,France,27,Pau FC,2018
S. Morsy,Sam Morsy,67,975000,CDM,Egypt,30,Ipswich Town,2021
V. Hoff,Vebjørn Hoff,67,1300000,CM,Norway,26,Odds BK,2021
L. Lindsay,Liam Lindsay,67,1300000,CB,Scotland,26,Preston North End,2021
Francho Serrano,Francho Serrano Gracia,67,2400000,CM,Spain,20,Real Zaragoza,2020
O. Bonsu,Osei Bonsu,67,2500000,CAM,Ghana,21,Caracas Fútbol Club,2020
M. McGuinness,Mark McGuinness,67,2100000,CB,Republic of Ireland,21,Sheffield Wednesday,2021
M. Karbownik,Michał Karbownik,67,2200000,RWB,Poland,21,Fortuna Düsseldorf,2020
I. Aaneba,Ismaël Aaneba,67,2100000,CB,France,23,FC Sochaux-Montbéliard,2021
R. Keogh,Richard Keogh,67,275000,CB,Republic of Ireland,35,Ipswich Town,2022
N. Kilkenny,Neil Kilkenny,67,200000,CDM,Australia,36,Western United FC,2021
F. Avenatti,Felipe Avenatti,67,1000000,ST,Uruguay,29,KV Kortrijk,2022
Á. Kecskés,Ákos Kecskés,67,1200000,CB,Hungary,26,LASK Linz,2022
V. Gómez,Valentín Gómez,67,2300000,CB,Argentina,19,Vélez Sarsfield,2022
C. Ramos,Christian Ramos,67,475000,CB,Peru,33,Club Alianza Lima,2022
J. Pajoy,Jhon Freddy Pajoy,67,625000,RM,Colombia,33,Junior FC,2020
M. Pospíšil,Martin Pospíšil,67,825000,CM,Czech Republic,31,Jagiellonia Białystok,2017
Nuno Lima,Nuno Miguel Reis Lima,67,2400000,CB,Portugal,21,FC Paços de Ferreira,2020
R. Williams,Ryan Williams,67,1000000,RM,Australia,28,Perth Glory,2022
T. Baldé,Thierno Baldé,67,2100000,RB,France,20,ESTAC Troyes,2022
L. Ramírez,Luis Alberto Ramírez,67,325000,CAM,Peru,37,Sport Boys,2020
D. Subašić,Danijel Subašić,67,110000,GK,Croatia,37,Hajduk Split,2021
M. Quina,Minzún Quina,67,275000,CB,Peru,35,Ayacucho,2020
J. Latibeaudiere,Joel Latibeaudiere,67,2100000,CB,Jamaica,22,Swansea City,2020
E. Serje,Enrique Serje,67,1300000,CDM,Colombia,26,Junior FC,2022
M. Biankadi,Merveille Biankadi,67,1100000,RM,Germany,27,1. FC Heidenheim 1846,2019
M. Amundsen,Malte Amundsen,67,1500000,LWB,Denmark,24,New York City FC,2021
M. Orihuela,Matías Orihuela,67,875000,LB,Argentina,30,Atlético Tucumán,2021
Cristo González,Cristo González Pérez,67,1600000,CAM,Spain,24,Real Sporting de Gijón,2019
G. Iancu,Gabriel Iancu,67,1000000,RM,Romania,28,FC U Craiova 1948,2022
M. Palacios,Matías Palacios,67,2500000,CAM,Argentina,20,Al Ain FC,2022
A. Sicker,Arne Sicker,67,1300000,LB,Germany,25,SV Sandhausen,2021
M. Johnson,Marvin Johnson,67,750000,LWB,England,31,Sheffield Wednesday,2021
M. Maroši,Marko Maroši,67,800000,GK,Slovakia,28,Shrewsbury Town,2021
C. Diakité,Check Oumar Diakité,67,2400000,CM,France,19,Le Havre AC,2020
L. Mafouta,Louis Mafouta,67,1100000,ST,Central African Republic,27,US Quevilly Rouen Métropole,2022
M. Ross,Mathias Ross,67,2100000,CB,Denmark,21,Galatasaray SK,2022
J. Bauza,Juan Bauza,67,1300000,CAM,Argentina,26,FC U Craiova 1948,2021
G. Karačić,Goran Karačić,67,1200000,GK,Bosnia and Herzegovina,25,Adana Demirspor,2022
S. Çikalleshi,Sokol Çikalleshi,67,850000,ST,Albania,31,Al Khaleej,2020
M. Potzmann,Marvin Potzmann,67,925000,RB,Austria,28,LASK Linz,2019
A. Esswein,Alexander Esswein,67,800000,ST,Germany,32,SV Sandhausen,2020
B. Teixeira,Bryan Teixeira,67,1600000,CAM,Cape Verde Islands,21,Austria Lustenau,2022
T. Dele-Bashiru,Tom Dele-Bashiru,67,2100000,CAM,Nigeria,22,Watford,2019
Jadenilson Baia,Jadenilson Nuno Baia Paneira,67,375000,RWB,Brazil,34,Sport Club Corinthians Paulista,2022
M. Stoppelkamp,Moritz Stoppelkamp,67,425000,LM,Germany,35,MSV Duisburg,2017
Tiago Araújo,Tiago Filipe Alves Araújo,67,2300000,LM,Portugal,21,Estoril Praia,2022
J. Alcívar,Jordy Alcívar,67,2100000,CM,Ecuador,22,Charlotte FC,2021
Tiago Ilori,Tiago Almeida Ilori,67,950000,CB,Portugal,29,FC Paços de Ferreira,2019
N. Sandberg,Niklas Sandberg,67,1100000,RW,Norway,27,Viking FK,2022
M. Rodin,Matej Rodin,67,1100000,CB,Croatia,26,Cracovia,2020
L. Wales,Lachlan Wales,67,1300000,RM,Australia,24,Western United FC,2020
A. Schmidt,Alexander Schmidt,67,1600000,ST,Austria,24,FC Vizela,2022
S. Ingelsson,Svante Ingelsson,67,1500000,LM,Sweden,24,F.C. Hansa Rostock,2021
B. Slisz,Bartosz Slisz,67,2000000,CDM,Poland,23,Legia Warszawa,2020
Córdoba,Aitor Córdoba Querejeta,67,1200000,CB,Spain,27,Burgos CF,2019
Claudio Mouria,Claudio Igor Mouria Silva,67,975000,RW,Brazil,30,Santos,2022
Paulo Estrela,Paulo Estrela Moreira Alves,67,2300000,CM,Portugal,23,Portimonense SC,2019
A. Kaplan,Ahmetcan Kaplan,67,2300000,CB,Turkey,19,Ajax,2022
G. Enrique,Guillermo Enrique,67,2200000,RB,Argentina,22,Gimnasia y Esgrima La Plata,2021
J. Emmanuel,Joshua Emmanuel,67,1400000,RWB,England,24,Hull City,2020
B. Hamer,Ben Hamer,67,170000,GK,England,34,Watford,2022
M. Højholt,Malthe Højholt,67,2200000,CDM,Denmark,21,Aalborg BK,2019
Lasure,Daniel Lasure Briz,67,925000,LB,Spain,28,Real Zaragoza,2017
J. Tchatchoua,Jackson Tchatchoua,67,2200000,RWB,Belgium,21,Royal Charleroi S.C.,2021
S. Skrzybski,Steven Skrzybski,67,1000000,RW,Germany,29,Holstein Kiel,2021
S. Gümüş,Sinan Gümüş,67,1000000,CAM,Germany,28,Antalyaspor,2022
D. Kolovetsios,Dimitrios Kolovetsios,67,825000,CB,Greece,30,Yukatel Kayserispor,2020
T. Mengi,Teden Mengi,67,2300000,CB,England,20,Manchester United,2019
K. Leerdam,Kelvin Leerdam,67,700000,RB,Suriname,32,LA Galaxy,2022
André Amaro,André Fonseca Amaro,67,2300000,CB,Portugal,19,Vitória de Guimarães,2020
A. Mulet,Agustín Mulet,67,2300000,CM,Argentina,22,Vélez Sarsfield,2021
M. Aidara,Mohamed Aidara,67,1400000,CB,Côte d'Ivoire,25,FC Vizela,2017
J. Okkels,Jeppe Okkels,67,2300000,CAM,Denmark,22,IF Elfsborg,2020
M. Youssouf,Mohamed Youssouf,67,375000,RB,Comoros,34,AC Ajaccio,2018
Renan Tojeiras,Renan Lorenzo Tojeiras Sampaio,67,975000,CDM,Brazil,26,Cuiabá,2022
M. McGovern,Michael McGovern,67,110000,GK,Northern Ireland,37,Norwich City,2016
P. Klewin,Philipp Klewin,67,725000,GK,Germany,28,FC Erzgebirge Aue,2020
M. Laborda,Mathías Laborda,67,2100000,CB,Uruguay,22,Club Nacional de Football,2019
Karrikaburu,Jon Karrikaburu,67,2400000,ST,Spain,19,Real Sociedad,2022
Luís Leal,Luís Leal dos Anjos,67,425000,ST,São Tomé e Príncipe,35,Club Deportivo Guabirá,2022
P. Göbel,Patrick Göbel,67,1000000,RM,Germany,28,FSV Zwickau,2021
J. Cardona,Jown Cardona,67,1100000,RW,Colombia,27,Guangzhou City,2021
Luís Miquissone,Luís José Miquissone,67,1100000,RM,Mozambique,26,Abha Club,2021
Javi Alonso,Javier Alonso Bello,67,1400000,CM,Spain,23,CD Tenerife,2017
San Román,Miguel San Román Ferrándiz,67,1300000,GK,Spain,24,SD Huesca,2021
D. Ayala,David Ayala,67,2300000,CDM,Argentina,19,Portland Timbers,2022
I. Yüksek,Ismail Yüksek,67,2300000,CM,Turkey,23,Fenerbahçe SK,2020
M. Harness,Marcus Harness,67,1100000,LW,England,26,Ipswich Town,2022
N. Păun,Nicolae Păun,67,2100000,CDM,Romania,23,Sepsi OSK Sf. Gheorghe,2021
E. Ndoj,Emanuele Ndoj,67,1500000,CAM,Albania,25,Brescia,2016
H. Acevedo,Humberto Acevedo,67,1300000,GK,Colombia,25,Deportivo Cali,2017
E. Páucar,Enmanuel Páucar,67,1200000,CDM,Peru,25,Ayacucho,2020
J. Raitala,Jukka Raitala,67,475000,CB,Finland,33,HJK Helsinki,2022
I. Jara,Ignacio Jara,67,1300000,CAM,Chile,25,Unión Española,2022
J. Obita,Jordan Obita,67,925000,LB,England,28,Wycombe Wanderers,2021
Z. Erdal,Ziya Erdal,67,375000,LB,Turkey,34,Demir Grup Sivasspor,2010
N. Contini,Nikita Contini,67,950000,GK,Ukraine,26,U.C. Sampdoria,2012
S. Ingolitsch,Sandro Ingolitsch,67,1200000,RB,Austria,25,SK Sturm Graz,2020
M. Longstaff,Matthew Longstaff,67,2300000,CAM,England,22,Colchester United,2018
P. Gunnarsson,Patrik Gunnarsson,67,2000000,GK,Iceland,21,Viking FK,2022
K. Sidibé,Kalidou Sidibé,67,1400000,CB,France,23,US Quevilly Rouen Métropole,2022
E. Delprato,Enrico Delprato,67,2200000,RB,Italy,22,Parma,2022
M. Cebula,Marcin Cebula,67,1300000,RM,Poland,26,Raków Częstochowa,2020
J. Borja,Jonathan Borja,67,1000000,CAM,Ecuador,28,Club Always Ready,2022
